Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/:shortCode,88240,2215,8,15.933048082157802,0.8110420312732458,523.5103329177946,40.2469401631913,446.7973093936388,11.215503629951382,8,10,14,17,31,58,100,140,340,480,520
POST,/urls,911,26,22,40.84760440630035,1.1214578989893198,396.73166582360864,15.857299670691548,4.612787271731697,0.13164925254119003,22,30,39,49,84,150,220,380,400,400,400
,Aggregated,89151,2241,8,16.18764041215179,0.8110420312732458,523.5103329177946,39.99771174748461,451.4100966653705,11.347152882492571,8,11,14,17,32,59,100,150,350,480,520
